,title,img_path,hashtag,colors
0,매일 입을래,./image/image_1.jpg,"['봄', '캐주얼', '긴소매 티셔츠', '데님 팬츠', '마르디 메크르디 슈즈', '맥끌라니', '바우프', '숄더백', '인스턴트펑크', '조거쉬', '캔버스/단화', '캡/야구 모자', '후드 집업', '꾸안꾸', '컬러블록', '레터링', '워싱', '그래픽', '부츠컷']","[[114 114 114]
 [228 163 121]
 [ 27  27  29]
 [ 79 143 189]
 [239 234 166]
 [ 62  75 143]
 [143  76  67]]"
1,센스 있는 조합,./image/image_2.jpg,"['봄', '캐주얼', '긴소매 티셔츠', '데님 팬츠', '마뗑킴', '스타디움 재킷', '아디다스', '에이프릴에잇', '토트백', '판도라핏', '패션스니커즈화', '컬러블록', '스티치', '래글런', '레터링', '워싱']","[[ 34  34  22]
 [102 116 117]
 [ 36  21  54]]"
2,매력 만점,./image/image_3.jpg,"['봄', '캐주얼', '데님 팬츠', '메타버스', '반원 아틀리에', '블루종/MA-1', '에코백', '척', '파이비', '패션스니커즈화', '헤인트', '후드 티셔츠', '휴대폰 케이스', '알고리즘', '로고플레이', '레터링', '크롭']","[[ 56  62  76]
 [243 236 226]
 [109  46  54]
 [150 103  47]
 [ 22  37   0]
 [221 201 114]
 [ 58  90   0]
 [138 106 171]
 [123 195 158]]"
3,우아한 자태,./image/image_4.jpg,"['로맨틱', '봄', '데님 팬츠', '루시크루', '룩캐스트', '목걸이/펜던트', '밸럽', '셔츠/블라우스', '숄더백', '슈트/블레이저 재킷', '엽페', '와르', '폴브리알', '힐/펌프스', '데이트', '소개팅', '트위드', '부츠컷', '워싱']","[[ 46  45  53]
 [106 119 151]]"
4,워너비 스타일,./image/image_5.jpg,"['걸리시', '봄', '귀걸이', '낫노잉', '니트/스웨터', '로씨로씨', '마지셔우드', '미니스커트', '부츠', '숄더백', '스윙셋', '스타디움 재킷', '에이티티', '키르시', '여친룩', '짧치', '컬러포인트', '크롭', '플라워']","[[ 26  26  26]
 [166 105 136]
 [ 92  12  47]
 [101 100  95]
 [233 157 133]
 [136  74  51]
 [193  48 107]]"
5,깔끔한 조합,./image/image_6.jpg,"['골프', '봄', '골프가방', '골프화', '니트/스웨터', '니티나', '데상트 골프', '마르디 메크르디 악티프', '와이드앵글', '일자 팬츠', '장갑', '크리션', '트레이닝 재킷', '부츠컷', '심볼', '스포티']","[[ 29  29  29]
 [103 101 104]
 [171 147  87]
 [236 239 162]
 [195 184 244]]"
6,봄 라운딩 룩,./image/image_7.jpg,"['골프', '봄', '골프가방', '골프화', '마틴골프', '말본 골프', '맨투맨/스웨트셔츠', '미니스커트', '아노락 재킷', '장갑', '카렘', '크리브나인', '로고플레이', '플리츠', '뉴트럴톤', '스포티', '테니스', '태슬', '컬러블록']","[[ 50  92  72]
 [250 249 245]
 [  0   0   2]]"
7,데일리 골프 웨어,./image/image_8.jpg,"['골프', '봄', '기타 모자', '긴소매 티셔츠', '데님 팬츠', '라코스테', '선캡 / 바이저', '장갑', '카디건', '캔버스/단화', '투어골프', '포트메인', '플레이부', '에이오더블유', '부츠컷', '스포티', '심볼']","[[ 21  22  24]
 [236 236 238]
 [149 142 150]]"
8,산뜻하게!,./image/image_9.jpg,"['골프', '봄', '골프가방', '골프화', '나이키 골프', '나일론/코치 재킷', '니트/스웨터', '더블플래그', '마르제', '먼데이플로우', '미니스커트', '장갑', '페어라이어 골프', '폴로 랄프 로렌 골프', '플리츠', '테니스', '심볼', '스포티']","[[ 18  20  33]
 [ 91  90  96]
 [254 255 245]
 [105 143 242]
 [ 29  58 136]
 [255 236 161]]"
9,탐나는 필드 룩,./image/image_10.jpg,"['골프', '봄', '골프가방', '골프화', '그리니치', '마로 골프', '맨투맨/스웨트셔츠', '스타디움 재킷', '일자 팬츠', '캡/야구 모자', '플래토', '휠라 골프', '에이븐', '뉴트럴톤', '컬러블록', '스포티', '로고플레이']","[[220 220 218]
 [159 127 102]
 [138  72  22]
 [ 13  13  15]
 [ 78 125  70]
 [ 68  16   2]
 [173 230 175]
 [ 91 100 115]
 [ 38  48   0]
 [173 108 138]
 [185 180  80]]"
10,멋잘알의 OOTD,./image/image_11.jpg,"['봄', '캐주얼', '데님 팬츠', '맨투맨/스웨트셔츠', '모드나인', '백팩', '세인트페인', '스타디움 재킷', '아메스 월드와이드', '에이카화이트', '캔버스/단화', '캡/야구 모자', '코닥', '포즈간츠', '컬러블록', '레터링', '그래픽', '워싱', '캠퍼스', '꾸안꾸']","[[ 28  28  28]
 [ 85  98 115]
 [255 215 153]
 [255 255 244]
 [159 101  64]
 [155  90 114]
 [  0 181 255]
 [203  76  31]
 [240  91 129]
 [ 93  96   5]
 [  0 134 245]
 [147 235 197]
 [245 183 196]
 [ 65 118  90]
 [ 71  42  96]
 [240 253 135]]"
11,데이트 룩으로 좋아,./image/image_12.jpg,"['댄디', '봄', '구두', '니트/스웨터', '데님 팬츠', '도프제이슨', '레더/라이더스 재킷', '로맨틱무브', '메신저/크로스 백', '모드나인', '목걸이/펜던트', '에이징씨씨씨', '엘무드', '하 아카이브', '레더', '컬러블록', '워싱', '데이트']","[[ 28  28  26]
 [103 113 122]]"
12,누구나 어울려,./image/image_13.jpg,"['봄', '캐주얼', '기타 바지', '백팩', '베이스모먼트', '수페르가', '스마텍', '에이카화이트', '이어폰', '잔스포츠', '캔버스/단화', '트러커 재킷', '트릴리온', '후드 티셔츠', '편안한', '캠퍼스', '로고플레이', '워싱', '와이드핏', '컬러블록']","[[ 27  34  52]
 [108 108 106]
 [255 255 244]
 [110  37  64]
 [207 130 146]
 [126 200 175]
 [  0  57  35]]"
